正文,点赞数,评论数,转发数,话题,日期,完整日期
"亲爱的网友们
        昨晚直播3小时40分钟
        共收到5400元的礼物
        平台拿了50之后
        还剩2700元
        缴纳了20的个人所得税
        即540元后
        实际到手2160元 
        通透 感恩",400,53,5,,2025-01-12,2025-01-12 13:14:14
"户晨风先生不喜欢被情怀绑架
        面对好的产品
        户先生都支持
        比如大疆的相机和麦克风
        户先生累计消费10000元以上了
        昨天又买了个新的
        有的品牌总是各种情怀
        绑架消费者
        令人作呕
        消费者支持是情分
        不支持是本分
        最终还是产品力决定一切",740,99,9,,2025-01-11,2025-01-11 15:41:06
"亲爱的网友们
        昨晚直播3小时30分钟
        共收到8000元的礼物
        平台拿了50之后
        还剩4000元
        缴纳了20的个人所得税
        即800元后
        实际到手3200元 
        通透 感恩",272,49,2,,2025-01-11,2025-01-11 11:07:50
"山姆会员店美国沃尔玛旗下企业
        是我现在唯一逛的线下超市
        食物安全放心 
        还便宜
        最关键的是
        遇到问题能维权
        真有食品安全问题
        我相信媒体
        会主动帮我维权的",695,113,17,,2025-01-10,2025-01-10 18:25:20
"网友们昨晚直播4小时
        累计收到礼物28万元
        平台拿50
        剩14万元
        再纳税20即2800元
        到手112万元 
        通透   
        再次感谢各位衣食父母",775,108,17,,2025-01-10,2025-01-10 13:37:39
"网友们好
        今晚9点
        B站直播见",1436,202,26,,2025-01-09,2025-01-09 13:34:29
"亲爱的网友们
        昨晚直播3小时25分钟
        累计收到14030元的礼物
        平台拿50之后
        我还剩7015元
        在缴纳了20
        约1403元的个人所得税之后
        我到手5612元
        通透 性情 豪迈 
        感谢各位总各位网友
        江东父老能容我
        不使人间造孽钱",2672,1037,47,,2024-10-01,2024-10-01 10:03:39
"户晨风先生作为
        成都市著名爱狗人士
        昨天给狗看病
        狗耳朵被细菌感染了
        耳镜拿药一共669元
        宠物看病非常的贵
        所以我给爱犬买了
        3份医疗保险
        1份责任险
        一个月狗的保险费用约240元
        我的狗看病费用都是保险报销
        所以我不在乎花了多少钱",855,162,5,,2024-09-30,2024-09-30 18:31:58
"户晨风先生在日本招聘兼职摄影
        工作时间及地点
        10月9日  下午1点开始  在大阪拍摄
        10月10日下午3点开始  在东京拍摄
        要求
        女性优先日语N1级别及以上
        务必能够熟练使用日语
        在日本本土生活至少2年以上
        熟练使用日语是硬性要求
        薪资
        每小时100元人民币
        50元餐补
        30元路费补贴
        有意者请私信我
        
日本大阪",1259,258,10,,2024-09-30,2024-09-30 12:25:54
"请位于以色列的网友速速联系我
        有关于以色列的问题需要咨询
        会希伯来语者优先",780,128,7,,2024-09-29,2024-09-29 14:33:55
"夜已深 
        户晨风先生决定
        将在合适时间
        合法合规的前提下
        申请签证前往
        以色列首都特拉维夫
        拍摄购买力系列视频
        目前面临两大困难
        1机票价格过于昂贵
              单人来回机票价格
              近12万元人民币图23
              机票只能国内直飞
              因安全问题不中转世界其他国家及地区
        2签证不一定能给我
              拒签率极高
         最主要的就是机票价格极高 
         望周知",1315,208,18,,2024-09-29,2024-09-29 02:19:18
"网友们这个墨镜好看么 
        连镜片一起一共1000元
        要不要买啊 
        属实有点不舍得",816,167,9,,2024-09-28,2024-09-28 12:15:53
"坚持学习英语   
        必须每天背1小时单词
        6个月后
        户晨风先生将挑战雅思55分
        望周知",1154,278,20,,2024-09-27,2024-09-27 13:35:56
"韩国白菜涨价
        已经是简体中文互联网的老内容了
        没有新意了
        如图从2018年2023年
        每年几乎都是一样的新闻内容
        甚至连新闻标题都差不多
        而且
        但凡有一点点生活常识都知道
        农产品的价格本身
        就是季节性波动大的
        非常正常
        还是那句话
        简体中文互联网关于韩国的内容
        几乎毫无价值",1417,280,49,韩国2公斤白菜卖到79元,2024-09-27,2024-09-27 00:32:02
"网友们画的像么 
        68元
        画的过程中
        我建议画师做短视频
        开直播
        平时直播的话
        直播间人数直接1万
        宣判封顶
        具体开播细节设备我也全盘托出
        户先生真是热心啊 
贵阳",1220,169,9,,2024-09-25,2024-09-25 19:37:33
"户晨风先生在想什么 
贵阳",1031,159,8,,2024-09-25,2024-09-25 14:17:43
"户晨风先生成功拿下
        韩国5年多次签证
        韩国户先生以后会
        多去 常去 常拍 
        一旦简中互联网有关于韩国的谣言
        户先生会第一时间赶赴韩国
        辟谣",2081,501,24,,2024-09-23,2024-09-23 11:47:35
"苹果AirPods 4耳机
       是你能负担得起的
       人类有史以来的
       最好用的耳机
       无感使用",800,199,12,,2024-09-22,2024-09-22 16:23:35
"户晨风先生课堂开课了
        今天我们活学活用
        生动的分析一位谣言受害者图1
        我们一一的核实这个人所说的论据
        1该网友所说苹果手机有很多印度造
              苹果手机2024年中国本土生产占总量的大约84印度仅占13图2数据来源财经我们这几乎是最大最权威的财经媒体
              所以符合事实的说法是苹果手机很多中国制造少部分印度制造
        2该网友所说美国政府可以通过苹果手机进行窃听及其他网络战国家安全局和360发布过很多案例
              我没有搜到以上两个机构发布的任何关于该网友所说的任何案例图3
        我怀疑该网友纯粹瞎编也就是造谣
        3该网友说亚非拉国家甚至德国默克尔都知道美国最会做恶窃听所以后面不愿意买美国货
               图4是2023年110月美国出口总金额按国家的排名澎湃新闻转载的
                欧洲欧盟亚洲的中国东盟日本韩国印度拉丁美洲的墨西哥巴西都是美国前10大商品出口国
                所以亚非拉不愿意买美国货更是无稽之谈啊
         4如该网友所说美国不仅会搞欧洲国家新闻上也报道过美国通过网络战窃听日本商业机密
         找了半天就找到图5的转载内容美国国家安全局窃听主要企业的35条电话线路从2006年开始2006年还没有苹果手机呢而且是电话线路
         结论
         该网友的价值观是由一堆谎言选择性事实构成的我实在是不知道该网友平时获取信息的渠道是什么 
        连最起码的求真精神都没有么 
        搜索引擎搜索一下10分钟都不需要
        我很同情这位网友
不攻击互相尊重友好交流为了防止网暴所有ID已打码",1005,195,24,,2024-09-21,2024-09-21 11:43:21
"户晨风先生做事特认真
        要么不做
        要做就做好
        这也是为什么
        户先生跑遍全球
        拍视频的原因
        户晨风先生即将前往日本",2319,392,26,,2024-09-20,2024-09-20 20:16:36
"简中互联网又开始谣言四起了
        说提防苹果手机爆炸
        首先黎巴嫩的手机爆炸
        是因为里面有TNT炸药
        不是因为锂电池
        如果能够远程控制锂电池爆炸
        那摩萨德为啥大费周章的装炸药呢 
        逻辑上也说不通啊
        再退一步来说
        苹果手机的整个制造组装
        都是国内工厂完成的
        基本都是上市公司
        也许你自己就是苹果产业链的一环
        另外
        你猜猜是我们买老外的电子产品多
        还是全世界买我们的电子产品多
        小心谣言最终伤害到自己
        户晨风先生思考集",1787,413,60,,2024-09-20,2024-09-20 14:37:49
"2021年
    我就感觉到要做自媒体这个行业
    因为人人都在刷短视频
    所有人都在玩手机
    这是真正的蓝海
    但是
    不知道拍什么
    怎么拍
    甚至剪辑都不会
    自学pr太复杂了学不会 
    那时候甚至剪映专业版还没推出
    所以一直处于想法阶段
2022年
    剪映专业版电脑端上市
    一整年我都在一点一滴的学习剪辑
2023年
    2月购买力系列视频横空出世
    3月107元视频发布
    4月随机送陌生人钱系列视频
    6月公开收入系列视频
    11月直播连麦交流观点火遍全球
     户晨风先生回忆录
图为2022年户晨风先生在家失业时拍摄",1785,218,21,,2024-09-18,2024-09-18 18:56:06
"户晨风先生病了
        肚子无征兆的间歇性疼痛
        上厕所也无济于事
        已连续好几天
        全身发热
        咳嗽
        鼻塞
        全身无力
        如果户晨风先生不幸离开这个世界
        你会怎么给户先生写悼词",2493,470,16,,2024-09-17,2024-09-17 20:28:59
"为什么只有中秋吃月饼 
        因为不好吃
        不好吃也就算了
        还不健康
        纯纯的糖油混合物
        月饼几乎集齐了食物的
        所有缺点",652,153,8,,2024-09-17,2024-09-17 18:41:48
"长春路上的车子
        比新西兰的好太多了
        扫一眼都有奔驰宝马奥迪
        长春路上的汽车比新西兰
        1价格更贵
        2车子更新
        新西兰大部分都是几万
        十几万的日系车
        所以
        长春的发展比新西兰好
        爆赞
 
长春",770,95,5,,2024-09-17,2024-09-17 18:13:04
分享图片,2248,524,28,,2024-09-16,2024-09-16 17:53:32
"一个美国的黑人母亲给自己的孩子做饭
        评论区几乎清一色的各种攻击
        甚至还有说狗粮的
        真是让人咋舌    
        人家做的饭咋了 
        大量的肉奶制品奶酪芝士
        优质蛋白
        蔬菜碳水
        都有了  
        不比弄一碗面条整一碗米饭强 
        不能攻击 要有包容性 
        这个世界是多样的
        老外大部分都不喜欢吃中餐
        你喜欢也没毛病
        人家喜欢自己的饮食习惯也没毛病
为了防止网暴所有ID均已打码不攻击互相尊重友好交流",2586,326,36,,2024-09-15,2024-09-15 12:24:47
"Space x太厉害了
       可以说吊打全球所有国家的航空技术
       不断创作人类新的历史
       可以说
       没有任何国家的航天技术能够
       望其项背 
       且不需要纳税人投入一分钱
       还能盈利纳税增加就业
      Space X完成了
      人类半个世纪以来
      离地球最高高度的出舱行走任务
      且出舱行走的宇航员就是普通人
      space x的普通员工
      且space X证明了一件事
      航天员真不用万里挑一
      Space x已经执行过
      把普通人送上太空一周的任务了
      还是残疾人呢
      得过癌症的
      我很尊重以上这些群体啊
      只是说上太空大家都行
      不需要万里挑一
      职业光环去魅
      就跟主播似的
      谁都能干",1368,416,42,,2024-09-14,2024-09-14 10:05:56
"都说户晨风先生赚的多
        就以我这次去长春
        拍摄视频为例
        我去每个城市的拍摄周期为3天
        街头送钱给路人预算6000元
        来回机票1300元
        住宿4晚1068元
        摄影工资700元
        吃饭喝水500元
        打车支出200元
        保险支出32元
        其他支出200元
        单次拍摄累计支出10000元
        所以户晨风先生赚的钱
        只是在户先生这过一手
        真正的分享给社会
        促进消费促进经济发展
        户先生这么说
        也是这么做的
        望周知 
南京南京禄口国际机场",577,123,6,,2024-09-13,2024-09-13 16:43:52
"户晨风先生一天的作息安排
        晚上9点开始直播
        凌晨12点30分下播
        凌晨2点睡觉
        早上8点起床
        10点30分赶到机场
        户晨风先生一直在路上
        为什么会如此拼搏 
        到底是为什么 
        可能只是想多纳税吧",490,110,8,,2024-09-13,2024-09-13 12:06:38
"月饼之殇
        月饼纯纯糖油混合物垃圾食品
        我拒绝吃
        1月饼皮和馅都有大量的糖和油
        2吃了对于身体来说是巨大的负担
              可以说是一点好处都没有
              家里的老人一定少吃最好不吃
        3有人说汉堡炸鸡是垃圾食品
               相比较而言
               月饼才是真正的垃圾食品
               另外汉堡不是垃圾食品",1781,392,32,,2024-09-12,2024-09-12 19:07:07
"新西兰购买力视频
        真是如平地惊雷般
        世界上各个国家的购买力
        会陆续拍摄
        了解其他国家的风土人情
        其他人的生活
        传播正能量",937,192,23,,2024-09-12,2024-09-12 14:13:10
"我不禁要问了
        为什么那么多人骂国足 
        为什么足球一定要踢得很好 
        这种心态很偏执啊
        踢不好就踢不好呗
        美国的足球更垃圾
        我也没见美国人天天骂他们的国足啊
        足球踢不踢的好
        是个无关紧要的事
        我们有更多更重要的事需要关注
        比如我们的孩子在学校有没有空调 
        而不是整天关注进了几个球
        就算多进几个
        赢了
        能怎么样么 
        对你的生活没有任何影响
图1户晨风先生2015年5月份在内蒙古满洲里中俄边界拍照留念",1307,323,24,,2024-09-11,2024-09-11 14:57:22
"新西兰切菜工1天工资能买多少东西户晨风全球购买力系列 
户晨风2023的微博视频",3007,557,291,,2024-09-10,2024-09-10 11:37:06
"在新西兰几乎很多事都是全凭自觉没人管你 
户晨风2023的微博视频",1332,341,34,,2024-09-09,2024-09-09 14:17:14
"尊敬的网友们
        新西兰三部曲
        正在紧锣密鼓的制作中
        随着新西兰3部曲的发布
        可以说是对新西兰在简中互联网的
        一锤定音了
        望周知
图11999年9月27日户晨风先生在照相馆摄影留念",623,161,2,,2024-09-09,2024-09-09 07:20:33
"太好了支持 
        私有化的医院明确的准入标准
        优胜汰劣 
        真正的造福普通人
        把低效率的医院和公立医院淘汰
        商业医疗保险私有化的医院
        完美解决整个医疗过程中
        信息不对称的问题
        让患者和医院医生平起平坐
        保险当中间人
        完美的解决了公立医院效率低的问题
        因为效率低意味着被淘汰
        好 
图1来源每日Fli快讯图2户晨风先生",1596,575,45,,2024-09-08,2024-09-08 13:29:12
"户晨风先生由新西兰回国
        望周知 
新西兰",1010,133,4,,2024-09-07,2024-09-07 16:53:17
"新西兰真是一个
        文明现代发达包容的国家
        来新西兰这一周
        根本就不存在说谁歧视我
        面对的都是笑容问好热心帮助
        这种体验极好
        全世界风景好的地方多了去了
        为什么新西兰能脱颖而出
        不仅仅是风景好
        更重要的是人合
        好的服务知情达理
        明确的规则对社会和法律放心 
        食品更是享誉全球完全的安全放心
        新西兰这个所谓的世界的角落
        却做的如此之好令人惊叹
        当然了也有缺点
        我觉得最大的缺点就是
        网络不好  
        确实通信网络建设极差
        当地人也是这么评价的
        因为环保酒店不提供拖鞋和牙刷
        剩下都是好评
        图片均为户晨风先生随手拍摄 
新西兰",2898,718,33,,2024-09-07,2024-09-07 09:20:16
"巴黎热不热我不知道
运动员热不热我也不关心
但你的城市有没有高温预警
你所在的城市的中小学生热不热
你应该是非常清楚的
那这些学校都有空调么 都开了么 
孩子们上课遭罪么 
所以我不禁要问
眼前的自己的孩子你不关心
一条朋友圈没发
一条微博没发
你关心毛线万里之外的巴黎啊 
拿出你当时关心巴黎奥运会
运动员有没有装空调那股劲
关心一下自己的孩子吧

图1为户晨风先生在新西兰皇后镇 
新西兰但尼丁",1424,264,40,,2024-09-06,2024-09-06 15:59:39
"网友们觉得配什么BGM合适呢 
新西兰皇后镇希尔顿酒店Hilton Queenstown Resort  Spa
 
户晨风2023的微博视频",664,159,0,,2024-09-05,2024-09-05 17:57:28
"让你们CEO来回复这个微博
         希望你正视问题立即处理
        我住在你们新西兰皇后镇希尔顿酒店
        我没想到希尔顿竟然针对不同的客户
        提供不同的WiFi 速度愚蠢的政策
        普通用户想选用高速度的WiFi 
        竟然还得花钱买
        退一步来说花钱买我也接受了
        问题是选择了低速度WiFi 
        就无法再选择高速度的了
        无法切换WiFi了 
        我操作了半小时都没切换成功 
        导致我无法直播 无法赚钱 
        I am angry  
         Hilton Hilton asked your CEO to reply to this Weibo
        wants you to face up to the problemdeal with it immediately
        I am staying at the Hilton Hotel in Queenstown New Zealand I didnt expect Hilton to provide different WiFi speeds for different customers Stupid policy Ordinary users want to choose highspeed WiFi but they still have to spend money to buy it To take a step back I also accept it The problem is that if you choose lowspeed WiFi you cant choose highspeed WiFi and you cant switch WiFi Ive been operating for half an hour
         but I havent switched successfully Cause me cant live Unable to make money         
  I am angry  
新西兰皇后镇希尔顿酒店Hilton Queenstown Resort  Spa",981,260,12,,2024-09-04,2024-09-04 20:03:48
"在新西兰不想发微博了
        出了奥克兰
        新西兰简直就是人间净土
        简直就是世外之地
        水原来可以清到可以看到湖底
        四个字形容优山美地 
新西兰",2557,352,14,,2024-09-04,2024-09-04 15:47:13
"户晨风先生在奥克兰 
新西兰奥克兰",1187,159,15,,2024-09-02,2024-09-02 15:18:09
"新西兰太冷了
        晚上洗澡前得开热空调
        不然待不住啊
        这两天忙于拍视频
        从后天开始
        户晨风先生更新新西兰见闻实录 
新西兰",707,111,14,,2024-09-01,2024-09-01 19:49:58
"亲爱的网友们
        户晨风先生昨晚直播2小时30分钟
        共收到20000元的礼物
        平台拿50
        到手10000元
        直接纳税20
        在缴纳了2000元的个人所得税之后
        到手8000
        感恩世界末日记录者总图3
        性情刷了19000元太通透了 
新西兰Auckland CBD",547,151,10,,2024-09-01,2024-09-01 13:09:37
"户晨风先生在新西兰 
新西兰奥克兰",1222,146,12,,2024-08-31,2024-08-31 18:18:16
"户晨风先生即将飞往
        万里之外的异国他乡 
        新西兰奥克兰 
        我割舍不下啊 
        说着说着
        不禁潸然泪下
        马上要坐12个小时的经济舱
        屁股都得烂了
        升舱升不起
        这可如何是好",621,137,2,,2024-08-30,2024-08-30 23:37:21
"尊敬的网友们
        昨晚直播35小时
        收到了34万元的礼物
        平台拿50
        我还能剩17万
        在缴纳了20
        即3400元的个人所得税之后
        到手13600元
        感恩各位总各位网友
        尤其要感谢世界末日记录者总
        昨晚性情上了总督
        花了2万元人民币
        太感谢了
        图3是世界末日总的主页",1025,250,9,,2024-08-30,2024-08-30 09:09:17
"在新西兰租车把户晨风先生难为坏了
        新西兰地大物博
        南北陆地相距1000公里
        人口只有500多万
        出行没车不行
        但是在欧美发达国家租车
        得有国际信用卡
        国内办理得一周时间
        户先生来不及啊
        明天的飞机
        这可如何是好 
        奥克兰的车子租好了
        奥克兰是大城市
        可以蚂蚁信用免抵押
        可惠灵顿和皇后镇没车咋办啊 
新西兰",1013,148,2,,2024-08-29,2024-08-29 15:51:30
"招聘启事
        户晨风先生需要在新西兰的
        奥克兰和惠灵顿的兼职摄影
        工作时间奥克兰当地时间9月2日
        和惠灵顿9月3日
        都是下午1点开始
        工资人民币100元小时
        餐补60元人民币
        路费补助30元人民币
        需要精通英语雅思65以上
        女性优先需成年
        有意者请私信我 
          
新西兰奥克兰",946,119,5,随手拍,2024-08-29,2024-08-29 09:56:37
"户晨风先生将于后天前往新西兰旅游拍摄
        户先生将会
        由北到南
        浏览整个新西兰
        用镜头拍下新西兰见闻实录
        由于日程繁忙
        暂不接受一切新西兰网友的宴请
        有在新西兰送外卖送快递当服务员
        工作的网友么 
        可以私信户先生
        记录你真实的一天
新西兰奥克兰",710,104,2,,2024-08-28,2024-08-28 21:50:44
"这张照片是2018年6月份
        户晨风先生刚到成都时
        为了应聘拍的照片
        当时这个蓝底还是亲戚帮忙p的图
        如今已过去6年多
        当时也不知道命运会如何
        户晨风先生将于明日正式回归
        直播聊",1868,335,14,,2024-08-28,2024-08-28 12:12:50
"银川卖20年红薯的大爷户晨风随机给陌生人2000元系列 
户晨风2023的微博视频",1989,411,36,,2024-08-22,2024-08-22 11:29:15
"简体中文互联网又嗨了
        说美国游泳队脸色发紫
        然后各种阴谋论
        推测别人用了药兴奋剂
        本着实事求是的原则
        我去观看了5场比赛原视频
        真相令人咋舌
        事实是大家脸色都发紫
                        白人会更加明显罢了
        如图澳大利亚对英国队
                    法国队加拿大队
                其他队排名低给的镜头很少
        所以皮肤发紫是普遍性的现象
        可能是转播技术问题导致的
        由此一群人不追求真相
        甚至连比赛原视频都不看
        就推测美国队用药了
        真是精神胜利大法啊
        可悲可叹啊
        另外这届奥运会的反兴奋剂小组的专家
        是由全世界各地的组成的
        包括我们这
        如果你怀疑美国队用兴奋剂请拿出证据
        而不是在这自嗨
        奥运精神是开放的包容的
不攻击互相尊重友好交流个人观点不一定对",10488,2855,131,,2024-08-14,2024-08-14 10:17:45
"对于跳水举重这类型的运动
        我既不喜欢
        也无法欣赏
        我实在是不知道美在哪里
        甚至觉得这种类型的运动
        有些不太人道
        跳水
        比的是谁的水花小
        
这有啥意思 
        举重比的是谁举的重
        运动员因此身体都会受伤害
        身高平均偏低
        所以这两项运动真是既无美感
        也无意义",4136,967,51,,2024-08-13,2024-08-13 12:53:43
"为什么朝鲜一架在飞的民航客机都没有 
        出行需求如何解决 
        即使普通民众没有出行需求
        地球这么大
        朝鲜官方的出行需求如何解决",1330,203,13,,2024-08-13,2024-08-13 08:57:01
"银川的理发师给我剪了个锅盖头
        我今天还得拍视频呢
        这可如何是好",604,176,1,,2024-08-12,2024-08-12 16:21:43
"正在审核7月份财报的文本
        财务数据播报完
        我都会说一段话
        然后再结束
        有好主意么 
        这段话应该说啥 
        大概150个字以内
        感恩为主
        可自由发挥
        写的好的原文摘录",777,95,3,,2024-08-12,2024-08-12 11:15:02
"重磅发布
        户晨风先生直播间
        7月份流水近13万元人民币 
        望周知",519,158,11,,2024-08-11,2024-08-11 18:03:50
